Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Australia,AUS,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Australia,AUS,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Australia,AUS,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.21
Australia,AUS,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.1
Australia,AUS,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Australia,AUS,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.86
Australia,AUS,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.3
Australia,AUS,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.95
Australia,AUS,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Australia,AUS,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
Australia,AUS,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
Australia,AUS,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.24
Australia,AUS,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.13
Australia,AUS,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Australia,AUS,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.14
Australia,AUS,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.3
Australia,AUS,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.09
Australia,AUS,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.3
Australia,AUS,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.8
Australia,AUS,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.04
Australia,AUS,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.21
Australia,AUS,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.55
Australia,AUS,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.26
Australia,AUS,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.23
Australia,AUS,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.9
Australia,AUS,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.36
Australia,AUS,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.77
Australia,AUS,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.72
Australia,AUS,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.91
Australia,AUS,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.08
Australia,AUS,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.37
Australia,AUS,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.09
Australia,AUS,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.12
Australia,AUS,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.8
Australia,AUS,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.07
Australia,AUS,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.76
Australia,AUS,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Australia,AUS,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.22
Australia,AUS,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.24
Australia,AUS,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.47
Australia,AUS,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.52
Australia,AUS,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.5
Australia,AUS,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Australia,AUS,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Australia,AUS,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Australia,AUS,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.11
Australia,AUS,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.23
Australia,AUS,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.25
Australia,AUS,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.45
Australia,AUS,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.51
Australia,AUS,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.49
Australia,AUS,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.3
Australia,AUS,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Australia,AUS,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.3
Australia,AUS,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.22
Australia,AUS,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.32
Australia,AUS,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.4
Australia,AUS,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.52
Australia,AUS,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.5
Australia,AUS,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.51
Australia,AUS,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.4
Australia,AUS,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.41
Australia,AUS,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.5
Australia,AUS,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.23
Australia,AUS,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.32
Australia,AUS,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.38
Australia,AUS,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.51
Australia,AUS,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.49
Australia,AUS,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.5
Australia,AUS,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.4
