Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Germany,DEU,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.4
Germany,DEU,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.49
Germany,DEU,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.49
Germany,DEU,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.78
Germany,DEU,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.57
Germany,DEU,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.3
Germany,DEU,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,46.5
Germany,DEU,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,42.8
Germany,DEU,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.4
Germany,DEU,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.55
Germany,DEU,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.62
Germany,DEU,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.62
Germany,DEU,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.39
Germany,DEU,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.53
Germany,DEU,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,40.5
Germany,DEU,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.6
Germany,DEU,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.6
Germany,DEU,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.9
Germany,DEU,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.96
Germany,DEU,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.96
Germany,DEU,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.51
Germany,DEU,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.72
Germany,DEU,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.35
Germany,DEU,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5
Germany,DEU,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.8
Germany,DEU,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.7
Germany,DEU,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.3
Germany,DEU,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.8
Germany,DEU,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.63
Germany,DEU,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.12
Germany,DEU,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.45
Germany,DEU,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.08
Germany,DEU,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.1
Germany,DEU,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.2
Germany,DEU,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5
Germany,DEU,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.5
Germany,DEU,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.03
Germany,DEU,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.49
Germany,DEU,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.69
Germany,DEU,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.7
Germany,DEU,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.89
Germany,DEU,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.3
Germany,DEU,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.8
Germany,DEU,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.6
Germany,DEU,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,20.4
Germany,DEU,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.03
Germany,DEU,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.62
Germany,DEU,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.64
Germany,DEU,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.67
Germany,DEU,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.86
Germany,DEU,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.4
Germany,DEU,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.4
Germany,DEU,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.8
Germany,DEU,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.9
Germany,DEU,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.69
Germany,DEU,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.69
Germany,DEU,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.7
Germany,DEU,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.89
Germany,DEU,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.52
Germany,DEU,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1
Germany,DEU,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.5
Germany,DEU,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.6
Germany,DEU,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1
Germany,DEU,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.61
Germany,DEU,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,2.64
Germany,DEU,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,2.67
Germany,DEU,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.86
Germany,DEU,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,2.53
Germany,DEU,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1
Germany,DEU,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.7
Germany,DEU,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.4
Germany,DEU,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3
Germany,DEU,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,2.02
Germany,DEU,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,5.19
Germany,DEU,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,5.85
Germany,DEU,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,4.93
Germany,DEU,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,3.57
Germany,DEU,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,1.5
Germany,DEU,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,0.2
Germany,DEU,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,0.7
Germany,DEU,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,0.3
