Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
British Virgin Islands,VGB,2018,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,524
British Virgin Islands,VGB,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,767
British Virgin Islands,VGB,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,786
British Virgin Islands,VGB,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,858
British Virgin Islands,VGB,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,891
British Virgin Islands,VGB,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,853
British Virgin Islands,VGB,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,726
British Virgin Islands,VGB,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,653
British Virgin Islands,VGB,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,638
British Virgin Islands,VGB,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,663
British Virgin Islands,VGB,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,629
British Virgin Islands,VGB,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,628
British Virgin Islands,VGB,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,571
British Virgin Islands,VGB,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,551
British Virgin Islands,VGB,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,455
British Virgin Islands,VGB,1995,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,482
British Virgin Islands,VGB,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,320
British Virgin Islands,VGB,1991,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,228
British Virgin Islands,VGB,1990,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,232
British Virgin Islands,VGB,1985,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,226
British Virgin Islands,VGB,1984,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,190
British Virgin Islands,VGB,1983,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,184
British Virgin Islands,VGB,1981,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,299
British Virgin Islands,VGB,1979,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,235
British Virgin Islands,VGB,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,155
British Virgin Islands,VGB,1975,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,91
British Virgin Islands,VGB,2018,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,259
British Virgin Islands,VGB,2017,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,392
British Virgin Islands,VGB,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,395
British Virgin Islands,VGB,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,445
British Virgin Islands,VGB,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,446
British Virgin Islands,VGB,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,411
British Virgin Islands,VGB,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,354
British Virgin Islands,VGB,2006,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,337
British Virgin Islands,VGB,2005,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,327
British Virgin Islands,VGB,2004,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,326
British Virgin Islands,VGB,2003,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,300
British Virgin Islands,VGB,2002,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,281
British Virgin Islands,VGB,2001,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,251
